timestamp,projectile_id,target,damage,boss_hp_before,boss_hp_after,phase
24025.599999964237,proj_1,boss,40,5000,4960,1
24025.599999964237,proj_2,boss,40,4960,4920,1
24025.69999998808,proj_3,boss,40,4920,4880,1
24025.69999998808,proj_4,boss,40,4880,4840,1
24025.799999952316,proj_5,boss,40,4840,4800,1
24025.799999952316,proj_6,boss,40,4800,4760,1
24025.899999976158,proj_7,boss,40,4760,4720,1
24025.899999976158,proj_8,boss,40,4720,4680,1
24025.899999976158,proj_9,boss,40,4680,4640,1
24026,proj_10,boss,40,4640,4600,1
24026,proj_11,boss,40,4600,4560,1
24026.099999964237,proj_12,boss,40,4560,4520,1
24026.19999998808,proj_13,boss,40,4520,4480,1
24026.19999998808,proj_14,boss,40,4480,4440,1
